-139,69;180,00;161,79;false
-120,17;180,00;277,28;true
-117,29;260,00;313,98;false
-101,84;270,00;295,16;false
-76,27;270,00;313,82;false
-56,85;270,00;383,20;false
-52,94;0,00;357,45;false
-32,99;0,00;275,85;false
-3,50;0,00;247,80;false
23,11;0,00;285,26;false
40,76;0,00;366,21;false
46,26;90,00;338,05;false
69,24;90,00;278,29;false
95,91;90,00;276,72;false
119,32;90,00;333,99;false
134,85;90,00;434,64;false
143,72;90,00;547,76;false
146,19;180,00;580,15;false
158,30;180,00;534,71;false
173,92;180,00;516,63;false
-171,37;180,00;535,75;false
-158,46;180,00;586,64;false
-80,62;270,00;430,56;false
-66,34;270,00;505,38;false
-56,32;270,00;601,41;false
-50,05;300,00;695,09;false
-45,15;0,00;659,45;false
-33,82;0,00;605,05;false
-20,88;0,00;578,17;false
-6,66;0,00;583,89;false
0,88;60,00;602,12;false
3,85;90,00;514,79;false
11,21;90,00;382,52;false
24,60;90,00;268,91;false
52,72;90,00;187,86;false
92,86;90,00;185,05;false
120,99;90,00;256,83;true
127,46;180,00;233,78;false
160,59;180,00;188,23;false
-164,14;180,00;221,31;false
-142,64;180,00;315,08;false
-131,82;180,00;431,93;false
-126,33;270,00;414,68;false
-107,19;270,00;389,00;false
117,98;330,00;239,55;true
119,85;0,00;323,06;false
120,78;90,00;377,85;false
138,04;90,00;386,42;false
156,58;90,00;441,39;false
169,35;90,00;525,24;false
178,29;90,00;627,63;false
-175,07;90,00;747,82;false
73,41;180,00;172,02;true
117,35;180,00;170,10;true
146,24;180,00;247,07;false
155,02;210,00;306,58;false
165,58;270,00;280,28;false
-167,43;270,00;264,00;true
-142,38;270,00;307,51;false
-137,52;0,00;270,95;true
-113,22;0,00;184,11;false
-70,62;0,00;164,77;true
-36,56;0,00;236,40;true
-21,83;0,00;341,64;false
-14,93;90,00;323,32;false
8,38;90,00;301,86;false
32,25;90,00;335,81;true
49,41;90,00;414,02;false
60,98;90,00;523,28;false
68,02;90,00;639,23;false
70,08;180,00;672,10;false
81,18;180,00;624,86;false
93,74;180,00;604,13;true
107,27;180,00;615,08;true
119,03;180,00;654,99;false
120,68;270,00;632,56;false
127,47;270,00;505,08;true
137,77;270,00;395,23;false
154,86;270,00;307,08;true
-178,96;270,00;263,42;false
-152,12;270,00;282,37;false
-142,28;0,00;306,66;false
